        TIME,            E,            S,          ES1,          ES2,            P
1.390083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.400083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.410083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.420083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.430083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.440083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.450083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.460083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.470083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.480083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.490083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.500083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
